Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GFP-1_R1_paired	GFP-1_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85886392.0	12.8 Gbp	0.0	149-150	53.0	48.432572024338334	149.99999935961915	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	fail
GFP-1_R2_paired	GFP-1_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85886392.0	12.8 Gbp	0.0	76-150	53.0	39.155633705753566	150.45612327037793	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	fail
GFP-2_R1_paired	GFP-2_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90868183.0	13.6 Gbp	0.0	149-150	48.0	33.05703422838121	149.99999931769298	150	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
GFP-2_R2_paired	GFP-2_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90868183.0	13.6 Gbp	0.0	76-150	48.0	21.97428272514409	150.45521721833043	150	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
GFP-3_R1_paired	GFP-3_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76072069.0	11.4 Gbp	0.0	149-150	54.0	48.26290515206169	149.9999991455471	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	fail
GFP-3_R2_paired	GFP-3_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76072069.0	11.4 Gbp	0.0	76-150	53.0	42.86055486975041	150.45301784154182	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	fail
GFP_1_R1_paired	GFP_1_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85663987.0	12 Gbp	0.0	25-150	52.0	50.775511412128104	141.42602602654952	150	pass	pass	fail	pass	fail	warn	pass	warn	warn	pass	fail
GFP_1_R2_paired	GFP_1_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85663987.0	12.7 Gbp	0.0	25-150	53.0	40.520087262187104	148.98839255520525	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	fail
GFP_2_R1_paired	GFP_2_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90691379.0	13 Gbp	0.0	25-150	47.0	35.593682527424086	144.70865232405387	150	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
GFP_2_R2_paired	GFP_2_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90691379.0	13.5 Gbp	0.0	25-150	48.0	23.23348642378748	149.38020981575326	150	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
