Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
GFP-1_R1_paired	51.567427975661666	53.0	149.99999935961915	150	36.36363636363637	85.886392
GFP-1_R2_paired	60.844366294246434	53.0	150.45612327037793	150	36.36363636363637	85.886392
GFP-2_R1_paired	66.94296577161879	48.0	149.99999931769298	150	36.36363636363637	90.868183
GFP-2_R2_paired	78.02571727485591	48.0	150.45521721833043	150	36.36363636363637	90.868183
GFP-3_R1_paired	51.73709484793831	54.0	149.9999991455471	150	36.36363636363637	76.072069
GFP-3_R2_paired	57.13944513024959	53.0	150.45301784154182	150	36.36363636363637	76.072069
GFP_1_R1_paired	49.224488587871896	52.0	141.42602602654952	150	27.27272727272727	85.66398699999999
GFP_1_R2_paired	59.479912737812896	53.0	148.98839255520525	150	36.36363636363637	85.66398699999999
GFP_2_R1_paired	64.40631747257592	47.0	144.70865232405387	150	36.36363636363637	90.691379
GFP_2_R2_paired	76.76651357621252	48.0	149.38020981575326	150	36.36363636363637	90.691379
GFP_3_R1_paired	49.246820011544244	52.0	139.31901202406917	150	27.27272727272727	75.858346
GFP_3_R2_paired	55.568103903269616	53.0	148.78024002790676	150	36.36363636363637	75.858346
YAF-1_R1_paired	71.70919831468211	45.0	149.99999926034124	150	36.36363636363637	90.582312
YAF-1_R2_paired	84.01140901433754	45.0	150.45468700335226	150	36.36363636363637	90.582312
YAF-2_R1_paired	44.40474196053825	55.0	149.99999905214997	150	36.36363636363637	132.932421
YAF-2_R2_paired	47.68395433645486	54.0	150.45028314424516	150	36.36363636363637	132.932421
YAF-3_R1_paired	47.50986809259179	51.0	149.99999942716562	150	27.27272727272727	94.268086
YAF-3_R2_paired	54.05356340631713	50.0	150.45207697332478	150	36.36363636363637	94.268086
YAF_1_R1_paired	69.28163142465974	44.0	142.73699554268666	150	36.36363636363637	90.403561
YAF_1_R2_paired	82.7336423436474	45.0	149.34079073500214	150	36.36363636363637	90.403561
YAF_2_R1_paired	41.917246311159815	51.0	127.69787316752905	127	36.36363636363637	132.634095
YAF_2_R2_paired	46.13177792647441	54.0	148.95508513101402	150	36.36363636363637	132.634095
YAF_3_R1_paired	45.19291871349769	49.0	137.92582327067456	150	27.27272727272727	94.049779
YAF_3_R2_paired	52.53451220878773	50.0	149.0359953690056	150	36.36363636363637	94.049779
