Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
GFP-1_R1_001	51.567427975661666	53.0	150.0	150	36.36363636363637	85.886392
GFP-1_R2_001	60.844329874212235	53.0	150.0	150	36.36363636363637	85.886392
GFP-2_R1_001	66.94296577161879	48.0	150.0	150	36.36363636363637	90.868183
GFP-2_R2_001	78.02569737874629	48.0	150.0	150	36.36363636363637	90.868183
GFP-3_R1_001	51.73709484793831	54.0	150.0	150	36.36363636363637	76.072069
GFP-3_R2_001	57.1393655776717	53.0	150.0	150	36.36363636363637	76.072069
GFP_1_R1_001	51.567427975661666	53.0	150.0	150	36.36363636363637	85.886392
GFP_1_R2_001	60.844329874212235	53.0	150.0	150	36.36363636363637	85.886392
GFP_2_R1_001	66.94296577161879	48.0	150.0	150	36.36363636363637	90.868183
GFP_2_R2_001	78.02569737874629	48.0	150.0	150	36.36363636363637	90.868183
GFP_3_R1_001	51.73709484793831	54.0	150.0	150	36.36363636363637	76.072069
GFP_3_R2_001	57.1393655776717	53.0	150.0	150	36.36363636363637	76.072069
YAF-1_R1_001	71.70919831468211	45.0	150.0	150	36.36363636363637	90.582312
YAF-1_R2_001	84.01134454950096	45.0	150.0	150	36.36363636363637	90.582312
YAF-2_R1_001	44.40474196053825	55.0	150.0	150	36.36363636363637	132.932421
YAF-2_R2_001	47.68392585103032	54.0	150.0	150	36.36363636363637	132.932421
YAF-3_R1_001	47.50986809259179	51.0	150.0	150	27.27272727272727	94.268086
YAF-3_R2_001	54.05300529487239	50.0	150.0	150	36.36363636363637	94.268086
YAF_1_R1_001	71.70919831468211	45.0	150.0	150	36.36363636363637	90.582312
YAF_1_R2_001	84.01134454950096	45.0	150.0	150	36.36363636363637	90.582312
YAF_2_R1_001	44.40474196053825	55.0	150.0	150	36.36363636363637	132.932421
YAF_2_R2_001	47.68392585103032	54.0	150.0	150	36.36363636363637	132.932421
YAF_3_R1_001	47.50986809259179	51.0	150.0	150	27.27272727272727	94.268086
YAF_3_R2_001	54.05300529487239	50.0	150.0	150	36.36363636363637	94.268086
