## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[analysis/aligned/YAF-1.dedup.bam] OUTPUT=analysis/qc/YAF-1_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Nov 22 06:14:17 CET 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	42233613	0	0	0	23059809	107858	0.546006	22740840

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	14745229
2	1383881
3	733714
4	483408
5	344581
6	255683
7	196137
8	153119
9	120730
10	97010
11	78389
12	65816
13	55670
14	48022
15	41549
16	36794
17	32658
18	29675
19	26876
20	24461
21	22135
22	20208
23	18709
24	17106
25	16011
26	14622
27	13364
28	12128
29	10960
30	10093
31	8886
32	7830
33	6880
34	6040
35	5145
36	4438
37	3903
38	3215
39	2671
40	2300
41	1885
42	1576
43	1252
44	1067
45	899
46	784
47	647
48	506
49	486
50	406
51	326
52	305
53	265
54	218
55	202
56	182
57	177
58	159
59	142
60	140
61	120
62	123
63	111
64	102
65	98
66	82
67	70
68	63
69	69
70	70
71	60
72	57
73	54
74	50
75	59
76	39
77	45
78	23
79	35
80	31
81	30
82	22
83	39
84	31
85	23
86	16
87	21
88	12
89	21
90	15
91	25
92	16
93	17
94	18
95	15
96	16
97	12
98	14
99	18
100	14
101	12
102	14
103	16
104	15
105	9
106	11
107	13
108	14
109	7
110	16
111	5
112	10
113	5
114	8
115	6
116	8
117	8
118	6
119	7
120	7
121	4
122	9
123	6
124	5
125	6
126	5
127	3
128	4
129	3
131	3
132	3
133	4
134	3
135	3
136	4
137	2
138	3
139	6
140	4
141	5
142	3
143	2
144	5
145	1
147	5
148	2
149	1
150	2
151	1
152	2
153	2
154	2
155	4
156	3
157	2
158	2
160	2
161	3
162	2
163	3
164	1
165	1
166	4
167	1
169	3
170	2
171	2
173	1
175	4
176	2
178	1
179	3
180	1
182	3
183	3
185	3
186	1
187	3
188	1
189	2
190	2
191	1
192	2
193	2
195	2
199	1
201	2
203	1
205	1
206	1
207	1
209	1
213	1
215	1
217	1
218	1
219	1
220	1
222	1
224	1
225	2
228	1
232	1
241	1
242	1
243	1
248	1
249	2
252	1
256	1
258	1
262	2
266	1
271	1
276	1
278	1
284	1
289	1
295	1
297	1
315	1
316	1
324	1
334	1
338	1
340	1
341	1
342	1
345	1
351	1
354	1
359	1
362	1
364	1
372	1
386	1
399	1
404	1
417	1
420	1
555	1
598	1

