## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[analysis/aligned/GFP-3.dedup.bam] OUTPUT=analysis/qc/GFP-3_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Nov 22 06:16:57 CET 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	53310894	0	0	0	14482579	67291	0.271663	79638455

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	32493784
2	2775208
3	1541518
4	899722
5	509530
6	278232
7	149621
8	79130
9	42359
10	22847
11	12513
12	7222
13	4391
14	2811
15	1791
16	1349
17	942
18	807
19	623
20	504
21	369
22	328
23	266
24	220
25	235
26	175
27	162
28	129
29	120
30	116
31	106
32	95
33	75
34	71
35	64
36	59
37	46
38	56
39	45
40	49
41	34
42	27
43	32
44	30
45	30
46	20
47	22
48	15
49	26
50	18
51	17
52	15
53	10
54	14
55	9
56	8
57	13
58	8
59	9
60	10
61	9
62	9
63	11
64	5
65	9
66	10
67	6
68	5
69	8
70	10
71	9
72	7
73	5
74	6
75	5
76	4
77	4
78	3
79	3
80	8
81	6
82	4
83	11
84	3
85	8
86	4
87	2
88	9
89	1
90	2
91	6
92	3
93	5
94	1
96	2
97	4
98	2
99	3
100	1
101	1
102	2
103	1
104	2
105	1
106	3
107	2
108	3
109	3
110	1
111	1
112	4
113	1
114	1
115	2
119	1
120	1
121	2
122	1
123	1
124	2
126	2
127	3
128	2
129	2
131	1
134	2
137	1
139	2
142	2
146	2
147	1
152	1
155	2
156	1
157	1
158	1
161	1
165	1
168	1
173	1
174	2
176	1
183	1
186	2
195	1
197	1
204	1
232	1
273	1
286	1
289	1
427	1

