## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[analysis/aligned/YAF-3.dedup.bam] OUTPUT=analysis/qc/YAF-3_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Nov 22 06:17:57 CET 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	68566493	0	0	0	17103789	69436	0.249448	113787418

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	42703964
2	4462397
3	2225560
4	1104261
5	521464
6	236347
7	106627
8	47289
9	22357
10	10873
11	5724
12	3459
13	2195
14	1560
15	1239
16	959
17	716
18	628
19	509
20	452
21	410
22	330
23	271
24	249
25	225
26	205
27	175
28	165
29	144
30	124
31	104
32	91
33	89
34	92
35	90
36	89
37	78
38	67
39	49
40	49
41	48
42	38
43	44
44	34
45	39
46	36
47	28
48	36
49	25
50	34
51	28
52	25
53	19
54	15
55	26
56	21
57	22
58	13
59	11
60	17
61	21
62	16
63	18
64	13
65	12
66	11
67	11
68	19
69	14
70	9
71	8
72	6
73	15
74	13
75	6
76	11
77	7
78	10
79	10
80	8
81	15
82	6
83	8
84	4
85	7
86	5
87	12
88	6
89	8
90	4
91	4
92	4
93	5
94	8
95	3
96	6
97	3
98	2
99	2
100	3
101	4
102	3
103	3
104	3
105	3
106	8
107	6
108	4
109	1
110	2
111	3
112	4
113	4
114	4
115	2
116	1
117	1
118	3
119	2
120	2
121	3
122	1
123	2
124	1
125	2
126	2
127	1
128	1
129	1
130	4
132	2
133	3
134	4
135	1
136	2
138	1
141	1
142	2
144	3
145	2
146	5
148	1
150	1
151	1
152	1
153	2
155	3
159	4
161	1
163	1
164	1
165	1
168	1
170	1
172	2
174	1
177	1
179	1
181	1
183	1
184	1
185	1
187	1
190	1
191	1
194	1
200	1
203	1
204	1
211	2
212	3
216	2
217	1
218	1
220	1
221	1
224	1
229	2
230	1
232	1
233	1
234	1
237	1
238	1
239	1
241	1
245	1
254	1
255	1
257	1
258	1
270	1
275	1
291	1
292	1
303	1
312	1
323	1
328	1
333	1
334	1
338	1
345	1
347	1
358	1
414	1
418	1
472	1
643	1
733	1

