## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[analysis/aligned/GFP-2.dedup.bam] OUTPUT=analysis/qc/GFP-2_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Nov 22 06:11:25 CET 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	29957236	0	0	0	9296551	43648	0.310327	37760804

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	17761533
2	1127242
3	575011
4	361639
5	235875
6	156671
7	107094
8	75694
9	54949
10	42536
11	33295
12	26772
13	21423
14	17721
15	14052
16	11314
17	8852
18	6914
19	5350
20	4081
21	3173
22	2318
23	1748
24	1293
25	1002
26	747
27	541
28	370
29	281
30	246
31	177
32	111
33	79
34	67
35	66
36	40
37	38
38	39
39	38
40	30
41	24
42	24
43	13
44	16
45	20
46	13
47	9
48	18
49	12
50	9
51	9
52	9
53	13
54	3
55	2
56	4
57	5
58	1
59	5
60	8
61	4
62	4
63	1
64	2
65	1
66	1
67	3
68	3
69	1
70	2
72	4
73	1
74	3
75	1
76	2
78	1
79	2
80	2
81	2
82	3
84	2
85	1
86	1
87	1
88	1
89	1
90	1
92	3
93	1
95	2
98	1
99	1
100	1
101	1
102	1
104	2
105	1
110	1
111	1
113	1
122	1
142	2
149	1
153	1
171	1
173	1
374	1

