## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[analysis/aligned/YAF-2.dedup.bam] OUTPUT=analysis/qc/YAF-2_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Nov 22 06:18:15 CET 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	122748368	0	0	0	24716744	107239	0.201361	263173284

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	81623982
2	11261458
3	3475489
4	1088930
5	346612
6	117216
7	44620
8	21200
9	11733
10	7801
11	5328
12	4014
13	3001
14	2416
15	2028
16	1749
17	1462
18	1193
19	1025
20	902
21	738
22	695
23	545
24	552
25	484
26	446
27	363
28	323
29	326
30	293
31	270
32	237
33	213
34	184
35	181
36	165
37	160
38	139
39	150
40	124
41	113
42	121
43	98
44	101
45	105
46	90
47	93
48	73
49	76
50	69
51	71
52	70
53	69
54	50
55	58
56	44
57	57
58	36
59	44
60	40
61	45
62	38
63	45
64	31
65	45
66	32
67	32
68	26
69	35
70	28
71	33
72	30
73	26
74	29
75	25
76	18
77	28
78	16
79	23
80	27
81	13
82	15
83	20
84	17
85	21
86	17
87	16
88	17
89	14
90	12
91	19
92	18
93	11
94	23
95	18
96	10
97	13
98	11
99	12
100	9
101	9
102	12
103	11
104	7
105	8
106	5
107	8
108	10
109	10
110	6
111	9
112	7
113	8
114	7
115	8
116	9
117	5
118	5
119	9
120	4
121	4
122	6
123	7
124	6
125	5
126	6
127	4
128	5
129	4
130	7
131	7
132	4
133	4
134	3
135	3
136	3
137	6
138	6
139	4
140	2
141	11
142	3
143	3
144	4
145	5
146	2
147	3
148	4
149	3
150	1
151	5
152	4
153	1
154	3
155	1
156	2
157	4
158	3
159	2
160	4
161	4
162	4
163	9
164	5
165	3
166	3
167	4
168	2
169	4
170	3
171	4
172	4
173	6
174	2
175	2
176	2
177	3
178	4
179	1
180	5
181	3
182	3
183	1
184	2
185	3
186	3
187	1
188	3
189	2
190	1
191	1
192	2
194	4
195	2
196	1
197	3
198	1
199	2
200	3
201	2
202	1
203	1
204	2
205	2
206	1
208	4
210	1
211	1
213	1
214	2
216	1
217	1
218	1
219	2
221	1
223	2
225	2
227	1
232	1
233	2
234	1
235	1
236	1
237	1
238	2
239	1
240	1
241	2
243	1
245	3
247	1
248	2
250	1
251	1
253	2
254	1
255	2
257	1
258	2
259	1
260	1
261	2
262	1
264	1
265	2
267	2
269	2
270	1
271	1
272	1
273	2
274	1
275	1
277	1
282	1
288	1
293	1
296	1
299	1
308	1
313	1
315	1
316	1
320	2
321	1
325	1
328	1
329	1
331	1
332	1
342	1
346	1
352	1
353	1
355	1
364	1
365	1
367	1
370	1
373	1
379	1
380	2
382	1
385	1
389	1
397	2
398	2
400	2
403	1
405	1
409	1
415	1
419	1
422	1
426	1
428	1
429	1
430	1
452	1
454	1
475	1
487	1
502	1
506	1
513	1
540	1
556	1
560	1
561	1
568	1
569	1
579	1
589	1
633	1
641	1
653	1
657	1
685	1
688	1
714	1
743	1
745	1
760	1
986	1
997	1
1023	1
1048	1
1211	1
1578	1

